1024 0.227
1280 0.24
1536 0.27
1792 0.307
2048 0.315
2304 0.33
2560 0.367
2816 0.397
3072 0.426
3328 0.447
3584 0.463
3840 0.488
4096 0.521
4352 0.545
4608 0.564
4864 0.589
5120 0.614
